week_start,week_end,is_partial_week,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2025-12-29,2026-01-04,True,DIESEL,R$ / litro,6.155,5.99,5.49,8.15,151,151
2025-12-29,2026-01-04,True,DIESEL S10,R$ / litro,6.179,6.09,5.59,8.17,216,216
2025-12-29,2026-01-04,True,ETANOL,R$ / litro,4.667,4.59,3.89,6.08,262,262
2025-12-29,2026-01-04,True,GASOLINA,R$ / litro,6.35,6.39,5.49,7.99,313,313
2025-12-29,2026-01-04,True,GASOLINA ADITIVADA,R$ / litro,6.557,6.565,5.75,8.17,254,254
2025-12-29,2026-01-04,True,GNV,R$ / m³,4.417,4.49,3.39,4.99,18,18
2026-01-05,2026-01-11,False,DIESEL,R$ / litro,6.098,6.04,5.39,8.33,1680,1680
2026-01-05,2026-01-11,False,DIESEL S10,R$ / litro,6.152,6.09,5.46,8.99,2841,2841
2026-01-05,2026-01-11,False,ETANOL,R$ / litro,4.648,4.59,3.69,6.49,3444,3444
2026-01-05,2026-01-11,False,GASOLINA,R$ / litro,6.297,6.29,5.09,9.29,4081,4081
2026-01-05,2026-01-11,False,GASOLINA ADITIVADA,R$ / litro,6.498,6.49,5.49,9.69,3202,3202
2026-01-05,2026-01-11,False,GNV,R$ / m³,4.544,4.49,3.39,6.49,315,315
2026-01-12,2026-01-18,False,DIESEL,R$ / litro,6.11,6.05,5.39,8.15,1727,1727
2026-01-12,2026-01-18,False,DIESEL S10,R$ / litro,6.164,6.09,5.46,9.29,2975,2975
2026-01-12,2026-01-18,False,ETANOL,R$ / litro,4.7,4.69,3.69,6.49,3567,3567
2026-01-12,2026-01-18,False,GASOLINA,R$ / litro,6.33,6.29,5.09,9.29,4259,4259
2026-01-12,2026-01-18,False,GASOLINA ADITIVADA,R$ / litro,6.532,6.49,5.49,9.69,3330,3330
2026-01-12,2026-01-18,False,GNV,R$ / m³,4.549,4.49,3.29,6.49,334,334
2026-01-19,2026-01-25,False,DIESEL,R$ / litro,6.112,6.05,5.39,8.33,1761,1761
2026-01-19,2026-01-25,False,DIESEL S10,R$ / litro,6.171,6.09,5.39,9.39,2953,2953
2026-01-19,2026-01-25,False,ETANOL,R$ / litro,4.736,4.69,3.69,6.49,3604,3604
2026-01-19,2026-01-25,False,GASOLINA,R$ / litro,6.337,6.29,5.28,9.29,4265,4265
2026-01-19,2026-01-25,False,GASOLINA ADITIVADA,R$ / litro,6.54,6.49,5.49,9.69,3347,3347
2026-01-19,2026-01-25,False,GNV,R$ / m³,4.553,4.55,3.29,6.49,328,328
2026-01-26,2026-02-01,False,DIESEL,R$ / litro,6.1,6.04,5.39,8.09,1795,1795
2026-01-26,2026-02-01,False,DIESEL S10,R$ / litro,6.159,6.09,5.35,8.99,3000,3000
2026-01-26,2026-02-01,False,ETANOL,R$ / litro,4.752,4.69,3.83,6.49,3627,3627
2026-01-26,2026-02-01,False,GASOLINA,R$ / litro,6.335,6.29,5.09,9.29,4303,4303
2026-01-26,2026-02-01,False,GASOLINA ADITIVADA,R$ / litro,6.537,6.49,5.49,9.49,3376,3376
2026-01-26,2026-02-01,False,GNV,R$ / m³,4.537,4.49,3.29,6.49,331,331
2026-02-02,2026-02-08,False,DIESEL,R$ / litro,6.103,6.04,5.09,8.15,1747,1747
2026-02-02,2026-02-08,False,DIESEL S10,R$ / litro,6.166,6.09,5.45,9.99,2912,2912
2026-02-02,2026-02-08,False,ETANOL,R$ / litro,4.762,4.69,3.89,6.83,3534,3534
2026-02-02,2026-02-08,False,GASOLINA,R$ / litro,6.322,6.29,5.28,9.29,4197,4197
2026-02-02,2026-02-08,False,GASOLINA ADITIVADA,R$ / litro,6.522,6.49,5.49,9.69,3298,3298
2026-02-02,2026-02-08,False,GNV,R$ / m³,4.627,4.64,3.29,5.99,56,56
2026-02-09,2026-02-15,False,DIESEL,R$ / litro,6.098,6.04,5.39,8.09,1788,1788
2026-02-09,2026-02-15,False,DIESEL S10,R$ / litro,6.157,6.09,5.39,9.99,2951,2951
2026-02-09,2026-02-15,False,ETANOL,R$ / litro,4.772,4.76,3.86,6.83,3634,3634
2026-02-09,2026-02-15,False,GASOLINA,R$ / litro,6.314,6.29,5.28,9.29,4284,4284
2026-02-09,2026-02-15,False,GASOLINA ADITIVADA,R$ / litro,6.515,6.49,5.44,9.49,3339,3339
2026-02-09,2026-02-15,False,GNV,R$ / m³,4.432,4.29,3.28,6.49,343,343
2026-02-16,2026-02-22,False,DIESEL,R$ / litro,6.094,6.02,5.38,8.33,1815,1815
2026-02-16,2026-02-22,False,DIESEL S10,R$ / litro,6.148,6.09,5.33,8.99,2967,2966
2026-02-16,2026-02-22,False,ETANOL,R$ / litro,4.772,4.76,3.59,6.83,3630,3629
2026-02-16,2026-02-22,False,GASOLINA,R$ / litro,6.311,6.29,5.28,9.29,4277,4276
2026-02-16,2026-02-22,False,GASOLINA ADITIVADA,R$ / litro,6.514,6.49,5.39,9.49,3340,3340
2026-02-16,2026-02-22,False,GNV,R$ / m³,4.427,4.29,3.29,6.49,328,328
2026-02-23,2026-03-01,False,DIESEL,R$ / litro,6.086,6.02,5.4,8.15,1816,1816
2026-02-23,2026-03-01,False,DIESEL S10,R$ / litro,6.139,6.09,5.33,9.39,3017,3017
2026-02-23,2026-03-01,False,ETANOL,R$ / litro,4.766,4.74,3.69,6.83,3654,3654
2026-02-23,2026-03-01,False,GASOLINA,R$ / litro,6.3,6.29,5.29,9.29,4334,4334
2026-02-23,2026-03-01,False,GASOLINA ADITIVADA,R$ / litro,6.501,6.49,5.36,9.49,3406,3406
2026-02-23,2026-03-01,False,GNV,R$ / m³,4.451,4.29,3.29,6.49,347,347
2026-03-02,2026-03-08,False,DIESEL,R$ / litro,6.132,6.09,5.39,8.15,1785,1785
2026-03-02,2026-03-08,False,DIESEL S10,R$ / litro,6.184,6.09,5.39,9.99,2995,2995
2026-03-02,2026-03-08,False,ETANOL,R$ / litro,4.757,4.69,3.69,6.59,3637,3637
2026-03-02,2026-03-08,False,GASOLINA,R$ / litro,6.307,6.29,5.36,9.29,4310,4310
2026-03-02,2026-03-08,False,GASOLINA ADITIVADA,R$ / litro,6.506,6.49,5.36,9.49,3363,3363
2026-03-02,2026-03-08,False,GNV,R$ / m³,4.386,4.27,3.29,6.28,337,337
2026-03-09,2026-03-15,False,DIESEL,R$ / litro,6.808,6.77,5.47,8.49,1689,1689
2026-03-09,2026-03-15,False,DIESEL S10,R$ / litro,6.864,6.79,5.59,9.99,2902,2902
2026-03-09,2026-03-15,False,ETANOL,R$ / litro,4.836,4.79,3.77,6.89,3513,3513
2026-03-09,2026-03-15,False,GASOLINA,R$ / litro,6.482,6.44,5.29,9.29,4182,4182
2026-03-09,2026-03-15,False,GASOLINA ADITIVADA,R$ / litro,6.666,6.595,5.59,9.49,3278,3278
2026-03-09,2026-03-15,False,GNV,R$ / m³,4.45,4.29,3.41,6.49,328,328
2026-03-16,2026-03-22,False,DIESEL,R$ / litro,7.284,7.29,5.79,8.99,1777,1777
2026-03-16,2026-03-22,False,DIESEL S10,R$ / litro,7.343,7.3,5.69,9.29,2936,2936
2026-03-16,2026-03-22,False,ETANOL,R$ / litro,4.894,4.89,3.86,6.99,3660,3660
2026-03-16,2026-03-22,False,GASOLINA,R$ / litro,6.668,6.59,5.49,9.39,4319,4319
2026-03-16,2026-03-22,False,GASOLINA ADITIVADA,R$ / litro,6.854,6.79,5.59,9.59,3360,3360
2026-03-16,2026-03-22,False,GNV,R$ / m³,4.467,4.385,3.41,6.28,338,338
2026-03-23,2026-03-29,False,DIESEL,R$ / litro,7.487,7.49,5.47,9.35,1760,1760
2026-03-23,2026-03-29,False,DIESEL S10,R$ / litro,7.572,7.59,5.69,9.99,3016,3016
2026-03-23,2026-03-29,False,ETANOL,R$ / litro,4.93,4.89,3.79,6.59,3722,3722
2026-03-23,2026-03-29,False,GASOLINA,R$ / litro,6.809,6.75,5.69,9.39,4389,4389
2026-03-23,2026-03-29,False,GASOLINA ADITIVADA,R$ / litro,6.998,6.97,6.09,9.59,3404,3404
2026-03-23,2026-03-29,False,GNV,R$ / m³,4.479,4.39,3.77,6.49,332,332
2026-03-30,2026-04-05,False,DIESEL,R$ / litro,7.497,7.49,6.09,9.45,1729,1729
2026-03-30,2026-04-05,False,DIESEL S10,R$ / litro,7.584,7.59,5.69,9.69,2950,2950
2026-03-30,2026-04-05,False,ETANOL,R$ / litro,4.915,4.89,3.69,6.6,3637,3637
2026-03-30,2026-04-05,False,GASOLINA,R$ / litro,6.798,6.74,5.69,9.54,4294,4294
2026-03-30,2026-04-05,False,GASOLINA ADITIVADA,R$ / litro,6.991,6.95,5.99,9.74,3342,3342
2026-03-30,2026-04-05,False,GNV,R$ / m³,4.49,4.39,3.41,6.49,332,332
2026-04-06,2026-04-12,False,DIESEL,R$ / litro,7.472,7.45,6.09,9.45,1740,1740
2026-04-06,2026-04-12,False,DIESEL S10,R$ / litro,7.584,7.59,5.69,9.79,2991,2991
2026-04-06,2026-04-12,False,ETANOL,R$ / litro,4.907,4.89,3.79,6.66,3658,3658
2026-04-06,2026-04-12,False,GASOLINA,R$ / litro,6.795,6.74,5.77,9.59,4320,4320
2026-04-06,2026-04-12,False,GASOLINA ADITIVADA,R$ / litro,6.991,6.95,5.89,9.79,3367,3367
2026-04-06,2026-04-12,False,GNV,R$ / m³,4.494,4.37,3.64,6.49,342,342
2026-04-13,2026-04-19,False,DIESEL,R$ / litro,7.385,7.35,6.09,9.08,1804,1804
2026-04-13,2026-04-19,False,DIESEL S10,R$ / litro,7.52,7.49,5.69,9.79,3044,3044
2026-04-13,2026-04-19,False,ETANOL,R$ / litro,4.904,4.89,3.49,6.59,3747,3747
2026-04-13,2026-04-19,False,GASOLINA,R$ / litro,6.784,6.69,5.69,9.59,4408,4408
2026-04-13,2026-04-19,False,GASOLINA ADITIVADA,R$ / litro,6.978,6.94,5.89,9.79,3429,3429
2026-04-13,2026-04-19,False,GNV,R$ / m³,4.446,4.29,3.41,6.28,342,342
2026-04-20,2026-04-26,False,DIESEL,R$ / litro,7.276,7.19,6.29,8.99,1744,1744
2026-04-20,2026-04-26,False,DIESEL S10,R$ / litro,7.411,7.39,5.69,9.79,2989,2989
2026-04-20,2026-04-26,False,ETANOL,R$ / litro,4.859,4.85,3.49,6.6,3690,3690
2026-04-20,2026-04-26,False,GASOLINA,R$ / litro,6.748,6.69,5.75,9.59,4345,4345
2026-04-20,2026-04-26,False,GASOLINA ADITIVADA,R$ / litro,6.949,6.89,5.97,9.79,3359,3359
2026-04-20,2026-04-26,False,GNV,R$ / m³,4.445,4.29,3.75,6.49,325,325
2026-04-27,2026-05-03,False,DIESEL,R$ / litro,7.17,7.09,6.07,8.99,1754,1754
2026-04-27,2026-05-03,False,DIESEL S10,R$ / litro,7.304,7.29,5.69,9.35,2976,2976
2026-04-27,2026-05-03,False,ETANOL,R$ / litro,4.788,4.79,3.06,6.6,3620,3620
2026-04-27,2026-05-03,False,GASOLINA,R$ / litro,6.706,6.65,5.59,9.29,4250,4250
2026-04-27,2026-05-03,False,GASOLINA ADITIVADA,R$ / litro,6.907,6.89,5.89,9.29,3276,3276
2026-04-27,2026-05-03,False,GNV,R$ / m³,4.446,4.29,3.41,6.28,355,355
2026-05-04,2026-05-10,False,DIESEL,R$ / litro,7.11,6.99,5.95,8.99,1773,1773
2026-05-04,2026-05-10,False,DIESEL S10,R$ / litro,7.263,7.19,5.69,9.99,2993,2993
2026-05-04,2026-05-10,False,ETANOL,R$ / litro,4.704,4.69,2.98,6.94,3601,3601
2026-05-04,2026-05-10,False,GASOLINA,R$ / litro,6.697,6.65,5.49,9.59,4262,4262
2026-05-04,2026-05-10,False,GASOLINA ADITIVADA,R$ / litro,6.898,6.89,5.79,9.79,3321,3321
