week_start,week_end,is_partial_week,state_code,product,measurement_unit,average_price,median_price,minimum_price,maximum_price,price_observations,station_count
2025-12-29,2026-01-04,True,AC,DIESEL,R$ / litro,7.746,7.76,7.3,8.15,8,8
2025-12-29,2026-01-04,True,AC,DIESEL S10,R$ / litro,7.834,8.15,7.39,8.17,7,7
2025-12-29,2026-01-04,True,AC,ETANOL,R$ / litro,5.55,5.29,5.19,6.08,5,5
2025-12-29,2026-01-04,True,AC,GASOLINA,R$ / litro,7.645,7.68,7.29,7.99,8,8
2025-12-29,2026-01-04,True,AC,GASOLINA ADITIVADA,R$ / litro,7.691,7.4,7.39,8.17,7,7
2025-12-29,2026-01-04,True,BA,DIESEL,R$ / litro,6.144,5.99,5.79,6.82,15,15
2025-12-29,2026-01-04,True,BA,DIESEL S10,R$ / litro,6.158,6.09,5.69,6.94,29,29
2025-12-29,2026-01-04,True,BA,ETANOL,R$ / litro,4.857,4.92,4.63,5.09,28,28
2025-12-29,2026-01-04,True,BA,GASOLINA,R$ / litro,6.348,6.19,6.11,6.95,32,32
2025-12-29,2026-01-04,True,BA,GASOLINA ADITIVADA,R$ / litro,6.463,6.39,6.13,7.3,26,26
2025-12-29,2026-01-04,True,BA,GNV,R$ / m³,4.49,4.49,4.49,4.49,3,3
2025-12-29,2026-01-04,True,ES,DIESEL,R$ / litro,5.92,5.89,5.87,5.99,6,6
2025-12-29,2026-01-04,True,ES,DIESEL S10,R$ / litro,6.1,6.04,5.95,6.49,6,6
2025-12-29,2026-01-04,True,ES,ETANOL,R$ / litro,4.698,4.64,4.45,4.99,8,8
2025-12-29,2026-01-04,True,ES,GASOLINA,R$ / litro,6.531,6.59,6.35,6.69,16,16
2025-12-29,2026-01-04,True,ES,GASOLINA ADITIVADA,R$ / litro,6.58,6.59,6.39,6.69,10,10
2025-12-29,2026-01-04,True,ES,GNV,R$ / m³,4.49,4.49,4.49,4.49,1,1
2025-12-29,2026-01-04,True,GO,DIESEL,R$ / litro,6.004,5.99,5.74,6.44,7,7
2025-12-29,2026-01-04,True,GO,DIESEL S10,R$ / litro,6.179,6.14,5.84,6.49,8,8
2025-12-29,2026-01-04,True,GO,ETANOL,R$ / litro,4.799,4.86,4.65,4.89,11,11
